iter,accepted,delta,objective,purity,recovery,css_error,productivity,energy
1,1,0.125,0.000083,0.270181,1.005141,0,0.000083,254.449506
2,0,0.0625,0.000083,0.270181,1.005141,0,0.000083,254.449506
3,0,0.03125,0.000083,0.270181,1.005141,0,0.000083,254.449506
4,0,0.015625,0.000083,0.270181,1.005141,0,0.000083,254.449506
5,0,0.0078125,0.000083,0.270181,1.005141,0,0.000083,254.449506
6,0,0.00390625,0.000083,0.270181,1.005141,0,0.000083,254.449506
7,0,0.001953125,0.000083,0.270181,1.005141,0,0.000083,254.449506
8,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
9,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
10,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
11,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
12,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
13,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
14,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
15,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
16,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
17,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
18,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
19,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
20,0,0.001,0.000083,0.270181,1.005141,0,0.000083,254.449506
